category,nypd_pct_cd,boro_nm,call_count,median_arrival_delay
Confirmed Crime,0,(null),1,21.45
Confirmed Crime,1,MANHATTAN,14095,7.866666666666666
Confirmed Crime,5,MANHATTAN,8232,9.216666666666667
Confirmed Crime,6,MANHATTAN,10728,5.283333333333333
Confirmed Crime,7,MANHATTAN,6872,5.216666666666667
Confirmed Crime,9,MANHATTAN,9979,7.383333333333334
Confirmed Crime,10,MANHATTAN,8210,7.966666666666667
Confirmed Crime,13,MANHATTAN,14964,9.116666666666667
Confirmed Crime,14,MANHATTAN,18725,3.8833333333333333
Confirmed Crime,17,MANHATTAN,6173,7.7
Confirmed Crime,18,MANHATTAN,15115,6.616666666666666
Confirmed Crime,19,MANHATTAN,13159,10.8
Confirmed Crime,20,MANHATTAN,6575,7.65
Confirmed Crime,22,MANHATTAN,474,4.3583333333333325
Confirmed Crime,23,MANHATTAN,8508,9.183333333333334
Confirmed Crime,24,MANHATTAN,8380,6.8916666666666675
Confirmed Crime,25,MANHATTAN,8952,7.533333333333333
Confirmed Crime,26,MANHATTAN,4693,6.0
Confirmed Crime,28,MANHATTAN,9483,6.283333333333333
Confirmed Crime,30,MANHATTAN,6243,4.8
Confirmed Crime,32,MANHATTAN,10735,8.716666666666667
Confirmed Crime,33,MANHATTAN,7039,6.716666666666667
Confirmed Crime,34,MANHATTAN,9677,8.75
Confirmed Crime,40,BRONX,21440,7.4
Confirmed Crime,41,BRONX,9474,4.65
Confirmed Crime,42,BRONX,13685,12.966666666666667
Confirmed Crime,43,BRONX,16312,10.541666666666668
Confirmed Crime,44,BRONX,19948,7.466666666666667
Confirmed Crime,45,BRONX,8242,12.641666666666666
Confirmed Crime,46,BRONX,18398,10.433333333333334
Confirmed Crime,47,BRONX,17457,11.466666666666667
Confirmed Crime,48,BRONX,14397,10.6
Confirmed Crime,49,BRONX,10940,10.866666666666667
Confirmed Crime,50,BRONX,7502,13.525
Confirmed Crime,52,BRONX,20071,9.633333333333333
Confirmed Crime,60,BROOKLYN,12793,3.7333333333333334
Confirmed Crime,61,BROOKLYN,9463,11.983333333333333
Confirmed Crime,62,BROOKLYN,8727,10.433333333333334
Confirmed Crime,63,BROOKLYN,6882,8.825
Confirmed Crime,66,BROOKLYN,7849,13.183333333333334
Confirmed Crime,67,BROOKLYN,14253,11.333333333333334
Confirmed Crime,68,BROOKLYN,7806,9.883333333333333
Confirmed Crime,69,BROOKLYN,6170,6.866666666666666
Confirmed Crime,70,BROOKLYN,12747,9.983333333333333
Confirmed Crime,71,BROOKLYN,8545,11.366666666666667
Confirmed Crime,72,BROOKLYN,8587,6.366666666666666
Confirmed Crime,73,BROOKLYN,15309,7.433333333333334
Confirmed Crime,75,BROOKLYN,21753,13.4
Confirmed Crime,76,BROOKLYN,3300,7.2
Confirmed Crime,77,BROOKLYN,9164,8.283333333333333
Confirmed Crime,78,BROOKLYN,7056,6.783333333333333
Confirmed Crime,79,BROOKLYN,11537,6.683333333333334
Confirmed Crime,81,BROOKLYN,8099,6.75
Confirmed Crime,83,BROOKLYN,12141,7.8
Confirmed Crime,84,BROOKLYN,11859,6.383333333333334
Confirmed Crime,88,BROOKLYN,6948,8.3
Confirmed Crime,90,BROOKLYN,9516,7.533333333333333
Confirmed Crime,94,BROOKLYN,6540,7.733333333333333
Confirmed Crime,100,QUEENS,4258,5.616666666666666
Confirmed Crime,101,QUEENS,7257,8.983333333333333
Confirmed Crime,102,QUEENS,10845,13.116666666666667
Confirmed Crime,103,QUEENS,14795,9.016666666666667
Confirmed Crime,104,QUEENS,10444,11.05
Confirmed Crime,105,QUEENS,10916,14.333333333333334
Confirmed Crime,106,QUEENS,10822,10.816666666666666
Confirmed Crime,107,QUEENS,9785,12.833333333333334
Confirmed Crime,108,QUEENS,12339,15.45
Confirmed Crime,109,QUEENS,16958,19.358333333333334
Confirmed Crime,110,QUEENS,15102,12.45
Confirmed Crime,111,QUEENS,4025,10.433333333333334
Confirmed Crime,112,QUEENS,7805,8.983333333333333
Confirmed Crime,113,QUEENS,9177,11.5
Confirmed Crime,114,QUEENS,17567,11.3
Confirmed Crime,115,QUEENS,16612,9.033333333333333
Confirmed Crime,116,QUEENS,171,8.7
Confirmed Crime,120,STATEN ISLAND,10197,7.366666666666666
Confirmed Crime,121,STATEN ISLAND,6973,7.016666666666667
Confirmed Crime,122,STATEN ISLAND,5579,8.833333333333334
Confirmed Crime,123,STATEN ISLAND,2305,8.333333333333334
Potential Crime,0,(null),6,122.00833333333333
Potential Crime,1,MANHATTAN,15282,8.55
Potential Crime,5,MANHATTAN,8554,7.883333333333334
Potential Crime,6,MANHATTAN,9905,4.766666666666667
Potential Crime,7,MANHATTAN,9024,3.3
Potential Crime,9,MANHATTAN,10947,7.316666666666666
Potential Crime,10,MANHATTAN,8049,8.966666666666667
Potential Crime,13,MANHATTAN,15574,8.2
Potential Crime,14,MANHATTAN,21800,0.03333333333333333
Potential Crime,17,MANHATTAN,7088,3.3083333333333336
Potential Crime,18,MANHATTAN,19459,3.283333333333333
Potential Crime,19,MANHATTAN,16024,11.608333333333334
Potential Crime,20,MANHATTAN,7578,7.1416666666666675
Potential Crime,22,MANHATTAN,1526,0.016666666666666666
Potential Crime,23,MANHATTAN,15695,5.933333333333334
Potential Crime,24,MANHATTAN,10035,4.916666666666667
Potential Crime,25,MANHATTAN,14023,1.9
Potential Crime,26,MANHATTAN,8597,4.916666666666667
Potential Crime,28,MANHATTAN,10397,5.133333333333334
Potential Crime,30,MANHATTAN,9783,4.466666666666667
Potential Crime,32,MANHATTAN,17417,7.5
Potential Crime,33,MANHATTAN,9177,7.45
Potential Crime,34,MANHATTAN,17003,4.666666666666667
Potential Crime,40,BRONX,24261,10.15
Potential Crime,41,BRONX,11389,10.333333333333334
Potential Crime,42,BRONX,14751,18.233333333333334
Potential Crime,43,BRONX,20714,17.616666666666667
Potential Crime,44,BRONX,25638,5.158333333333333
Potential Crime,45,BRONX,12001,29.85
Potential Crime,46,BRONX,20671,14.45
Potential Crime,47,BRONX,21587,19.95
Potential Crime,48,BRONX,16789,23.1
Potential Crime,49,BRONX,12165,17.316666666666666
Potential Crime,50,BRONX,9949,14.633333333333333
Potential Crime,52,BRONX,23507,12.833333333333334
Potential Crime,60,BROOKLYN,14849,4.333333333333333
Potential Crime,61,BROOKLYN,15139,16.9
Potential Crime,62,BROOKLYN,13430,13.883333333333333
Potential Crime,63,BROOKLYN,11693,15.75
Potential Crime,66,BROOKLYN,12416,21.033333333333335
Potential Crime,67,BROOKLYN,25949,8.916666666666666
Potential Crime,68,BROOKLYN,10747,15.583333333333334
Potential Crime,69,BROOKLYN,12815,8.866666666666667
Potential Crime,70,BROOKLYN,16534,13.333333333333334
Potential Crime,71,BROOKLYN,13202,13.408333333333333
Potential Crime,72,BROOKLYN,13780,6.933333333333334
Potential Crime,73,BROOKLYN,25059,2.5166666666666666
Potential Crime,75,BROOKLYN,28784,12.658333333333333
Potential Crime,76,BROOKLYN,6693,3.716666666666667
Potential Crime,77,BROOKLYN,14994,6.791666666666666
Potential Crime,78,BROOKLYN,8904,3.15
Potential Crime,79,BROOKLYN,18111,3.55
Potential Crime,81,BROOKLYN,12920,4.958333333333334
Potential Crime,83,BROOKLYN,16164,6.883333333333334
Potential Crime,84,BROOKLYN,14683,4.25
Potential Crime,88,BROOKLYN,10567,5.066666666666666
Potential Crime,90,BROOKLYN,14278,8.333333333333334
Potential Crime,94,BROOKLYN,7460,9.0
Potential Crime,100,QUEENS,6517,8.033333333333333
Potential Crime,101,QUEENS,11952,14.191666666666666
Potential Crime,102,QUEENS,14937,32.11666666666667
Potential Crime,103,QUEENS,18271,13.116666666666667
Potential Crime,104,QUEENS,15547,18.45
Potential Crime,105,QUEENS,18008,23.991666666666667
Potential Crime,106,QUEENS,14838,20.116666666666667
Potential Crime,107,QUEENS,14003,19.75
Potential Crime,108,QUEENS,16165,25.366666666666667
Potential Crime,109,QUEENS,22143,23.266666666666666
Potential Crime,110,QUEENS,19870,16.7
Potential Crime,111,QUEENS,9346,10.075
Potential Crime,112,QUEENS,10426,11.35
Potential Crime,113,QUEENS,15127,31.016666666666666
Potential Crime,114,QUEENS,26498,14.483333333333333
Potential Crime,115,QUEENS,22109,9.533333333333333
Potential Crime,116,QUEENS,621,4.216666666666667
Potential Crime,120,STATEN ISLAND,17866,7.983333333333333
Potential Crime,121,STATEN ISLAND,11142,11.916666666666666
Potential Crime,122,STATEN ISLAND,10900,14.1
Potential Crime,123,STATEN ISLAND,5751,12.083333333333334
